ID du processus unique,ID de processus,ID du thread unique,ID de thread,Nom du thread,Heure début du thread,Heure de fin du thread,Adresse de début du thread,Durée de vie,
0,5412,0,4396,"Inconnu","0,00","33 421,12",10 964 846,"33 421,12",
0,5412,1,6832,"Inconnu","0,00","33 421,12",1 941 071 822,"33 421,12",
0,5412,2,5036,"Inconnu","0,00","33 421,12",1 940 619 524,"33 421,12",
0,5412,3,6484,"Inconnu","0,00","33 421,12",1 886 429 953,"33 421,12",
0,5412,4,4304,"Inconnu","0,00","33 421,12",1 997 105 665,"33 421,12",
0,5412,5,7780,"Inconnu","22 199,81","22 201,88",1 965 064 649,"2,07",
0,5412,6,2260,"Inconnu","22 202,55","33 421,12",1 997 105 665,"11 218,57",
0,5412,7,1084,"Inconnu","22 202,89","33 421,12",1 997 105 665,"11 218,23",
0,5412,8,1568,"Inconnu","22 203,09","33 421,12",1 964 270 145,"11 218,03",
0,5412,9,4288,"Inconnu","22 380,59","33 421,12",1 940 619 524,"11 040,53",
0,5412,10,1792,"Inconnu","22 380,63","23 881,27",1 940 149 764,"1 500,64",
0,5412,11,7660,"Inconnu","22 381,07","33 421,12",1 940 619 524,"11 040,05",
